table_code,geography_combinations
RM129,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla', 'wpc', 'wd'}"
RM130,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM131,"{'nat', 'ctry', 'rgn', 'nhser', 'lhb', 'icb', 'sicbl', 'utla', 'ltla', 'wpc', 'wd'}"
RM132,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM133,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM134,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM135,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM136,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM137,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM138,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
RM139,"{'nat', 'ctry', 'rgn', 'lep', 'nhser', 'lhb', 'icb', 'sicbl', 'utla23', 'utla', 'ltla23', 'ltla', 'senc', 'p19wpc', 'sener', 'wpc', 'wd'}"
